ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,208,7.872,40,1448,10.0,775.0,1.8375,3.675,-1
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.353,40,1448,272.0,20.0,167.3875,200.8625,158
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.31,40,1448,272.0,20.0,170.5,204.5375,165
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.002,40,1448,272.0,20.0,196.7375,236.0,171
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.067,40,1448,284.0,20.0,198.95,238.7125,160
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.428,40,1448,284.0,20.0,169.375,203.2,199
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.406,40,1448,298.0,20.0,179.35,215.1375,185
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.416,40,1448,298.0,20.0,178.6,214.3125,202
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.395,40,1448,298.0,20.0,180.1625,216.175,171
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.375,40,1448,298.0,20.0,181.6875,218.0125,196
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.437,40,1448,298.0,20.0,177.0625,212.475,168
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.394,40,1448,298.0,20.0,180.25,216.2125,190
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.443,40,1448,298.0,20.0,176.625,211.925,185
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.387,40,1448,298.0,20.0,180.775,216.925,190
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.42,40,1448,298.0,20.0,178.3125,213.95,170
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.452,40,1448,298.0,20.0,175.975,211.1375,184
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.4,40,1448,298.0,20.0,179.7875,215.675,196
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.393,40,1448,298.0,20.0,180.325,216.3,205
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.467,40,1448,298.0,20.0,174.9125,209.8375,184
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.39,40,1448,298.0,20.0,180.55,216.6375,208
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.592,40,1448,298.0,20.0,166.475,199.7125,168
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.332,40,1448,298.0,20.0,185.0375,222.0,207
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.453,40,1448,298.0,20.0,175.9125,211.025,197
"['134.197.41.42', '134.197.113.68']","['2:36778', '8:ssh']",cubic,204,2.414,40,1448,298.0,20.0,178.75,214.4375,158
